ID,SMILES,Total_Score,pKd,k_off,SA,MW,QED,LogP
mol_588,"CCC1C(=O)C(C(O)NC)C(O)N2CC3CCCC(=O)N3C12",0.6659,5.866,1.1670,4.92,311.38,0.585,-0.91
mol_589,"CC12CCCC1CC(O)C(N)C2",0.6659,5.828,1.2197,4.13,169.27,0.573,1.27
mol_590,"CC(C1CCCN1)C1(C)C(N)C1O",0.6658,5.850,1.1883,4.59,184.28,0.570,0.08
mol_591,"CNC1=CCC(C2NC(CC3CCNCC3)NNC2O)CC1",0.6654,5.870,1.1612,5.03,309.46,0.438,-0.01
mol_592,"N=C=NC(N)(O)C1CCCC(I)C1O",0.6654,5.885,1.1421,5.34,311.12,0.255,0.31
mol_593,"O=C1CC(C(F)(F)F)C=NCN1",0.6653,5.836,1.2080,4.32,180.13,0.586,0.71
mol_594,"OC1=NNCC1C1CCCCC1Cl",0.6651,5.843,1.1988,4.46,202.69,0.638,1.87
mol_595,"OC1CCCC2CC=NCC2C1",0.6650,5.833,1.2127,4.26,167.25,0.584,1.63
mol_596,"NC(N)C1CCNC2NC=CNC21",0.6649,5.884,1.1431,5.33,183.26,0.310,-1.80
mol_597,"COC1NCC2=CC(S(O)(O)O)CCC21",0.6642,5.873,1.1574,5.12,235.30,0.545,1.49
mol_598,"CC1CCC2NNNCC2C1",0.6640,5.852,1.1860,4.68,155.25,0.474,0.40
mol_599,"CN1CCC(C2=C(C(O)NC3CCCCC3)C(O)CCC2O)CC1",0.6637,5.818,1.2333,4.01,338.49,0.460,1.38
mol_600,"CC1CNCC2C=CCC=C=NC12",0.6636,5.887,1.1392,5.44,176.26,0.554,1.40
mol_601,"O=C1NCCC2C=CCCC12",0.6636,5.817,1.2339,3.83,151.21,0.516,1.09
mol_602,"COC1=CC2CCNC2CC1",0.6631,5.821,1.2284,4.09,153.22,0.613,1.29
mol_603,"OC1=C2CCCCC2CC2C(=N1)N=C(C1CCCCC1)NC2O",0.6626,5.838,1.2051,4.44,317.43,0.694,3.27
mol_604,"COC(NCC(O)CO)=C1CCCCC1O",0.6619,5.815,1.2376,3.93,231.29,0.489,-0.28
mol_605,"CC=CC(O)C1=C(N)NCC1",0.6618,5.837,1.2063,4.44,154.21,0.494,0.09
mol_606,"COC1C=CNC(NC2CCCOC2)=C1CC(O)C1CCC(C=N)C1",0.6613,5.868,1.1642,5.10,349.48,0.528,1.92
mol_607,"CCCCNCC(C)(O)CNC(=O)C1CCCC(NC(C)C)O1",0.6604,5.813,1.2409,3.96,329.49,0.452,1.14
mol_608,"CCN1CCC(=CC(O)O)CN1",0.6597,5.825,1.2237,4.26,172.23,0.386,-0.55
mol_609,"OC1=CC2CC3CCCC(O)C3C(=NC3CCCCC3)C2=CC1",0.6597,5.843,1.1979,4.63,315.46,0.756,4.33
mol_610,"CNC(O)C1=C(S)N(C)CC1",0.6589,5.830,1.2155,4.40,174.27,0.407,0.00
mol_611,"CCN1C(CN)C(O)NC2CCNCC21",0.6583,5.844,1.1963,4.70,214.31,0.440,-1.71
mol_612,"CNC1CCCC2NC(O)CCC3C(CCOC)NCC4NC=C(C(=O)NC12)C43",0.6581,5.899,1.1238,5.87,407.56,0.370,-0.59
mol_613,"CN1CC2CCNC3NCCC=C(C23)C1O",0.6581,5.856,1.1806,4.94,223.32,0.494,-0.28
mol_614,"CCN1N=CNC2C(O)NC=C(C3CCCCC3)C21",0.6581,5.849,1.1900,4.80,264.37,0.696,0.98
mol_615,"OC1CCCc2cnccc2O1",0.6580,5.809,1.2462,3.19,165.19,0.626,1.12
mol_616,"CCN(C)C1CCNC(N)C1C",0.6578,5.827,1.2205,4.36,171.29,0.624,0.22
mol_617,"C=CC1=CCCCC1C(O)CO",0.6577,5.815,1.2380,4.12,168.24,0.666,1.25
mol_618,"C=C1CCN(CCCN2CNC(C3CCCCC3)C2)C1",0.6577,5.808,1.2469,3.46,277.46,0.779,2.45
mol_619,"CC1CC=C2C(=O)NC(C)(N)C2C1",0.6575,5.840,1.2024,4.63,180.25,0.578,0.76
mol_620,"CCNCCC(C)N",0.6569,5.807,1.2485,2.76,116.21,0.520,0.33
mol_621,"CCNC(O)C1CC(=CCN)CC1C1CC1",0.6563,5.830,1.2156,4.47,224.35,0.486,1.24
mol_622,"OCC1C(O)CCCC1C(O)O",0.6550,5.804,1.2529,3.91,176.21,0.410,-0.93
mol_623,"CC=COC(CC=C(N)C1CCCCC1)CC(C)O",0.6538,5.806,1.2500,4.08,267.41,0.694,3.49
mol_624,"NCCC1CC(C2CCCCC2O)=CNN1",0.6537,5.826,1.2224,4.46,225.34,0.569,0.64
mol_625,"NC(=O)NC1=NC(O)NC=C1",0.6534,5.827,1.2209,4.49,156.15,0.341,-1.55
mol_626,"NNC1C(=O)NC2=C1CCCC2",0.6532,5.801,1.2569,3.74,167.21,0.373,-0.22
mol_627,"NC1CC=C(I)SC1O",0.6532,5.856,1.1806,5.09,257.10,0.637,1.05
mol_628,"COC(O)C1CCNC2CNNC3CCCCC3C21",0.6528,5.852,1.1853,5.03,269.39,0.540,0.21
mol_629,"CCC1CCC2C(CCNC2C2CCC(C#N)CC2)C1",0.6527,5.806,1.2509,4.10,274.45,0.822,4.12
mol_630,"FC(F)C1CCNCC1",0.6525,5.800,1.2587,2.82,135.16,0.570,1.25
mol_631,"NC1NC(O)=C(CO)C(CC(O)O)N1",0.6521,5.842,1.1993,4.84,205.21,0.249,-2.75
mol_632,"CCOCC1CCCC2CCC3C(O)C(O)N(C(N)O)CC3C21",0.6521,5.847,1.1922,4.94,328.45,0.555,0.31
mol_633,"CC1C(=O)NC(=N)N2C1=C1C(CCC1(C)C)C2C1=NCNN1",0.6520,5.865,1.1688,5.31,302.38,0.568,0.53
mol_634,"OC1NNC2CCCCCC12",0.6516,5.804,1.2538,4.09,156.23,0.474,0.36
mol_635,"CC1CC(O)C2CC(=NCOC3CCC(O)CC3N3NC=C1O3)CC(C)C2O",0.6512,5.948,1.0620,7.22,395.50,0.486,1.08
mol_636,"CC1(C)CCC2CCNC3CCC(C1)C23",0.6508,5.806,1.2509,4.15,207.36,0.643,3.20
mol_637,"NC1C=CCCCC1CCO",0.6508,5.797,1.2626,3.82,155.24,0.585,1.05
mol_638,"CC1CC(C(O)S)C(O)C(NO)C1O",0.6504,5.857,1.1794,5.19,223.29,0.204,-1.04
mol_639,"CNC(N)C(CCO)N1CCC(C2C=CC(O)CC2)C1=C=O",0.6503,5.853,1.1838,5.12,309.41,0.303,-0.39
mol_640,"CCCNC(=O)C1NC(N)C(C)NC1O",0.6499,5.822,1.2273,4.50,216.28,0.378,-1.93
mol_641,"CCC12OC13C1CCCC(O)C1NC(O)C3NC1CCCC2(C)C1",0.6497,5.925,1.0898,6.73,336.48,0.543,1.28
mol_642,"CC(N)C1C(O)NCC2CNCCC21",0.6497,5.835,1.2098,4.76,199.30,0.441,-0.90
mol_643,"CC1COCC(O)NC(O)N=C2CSC(C2)N=NC2CC(O)COC2NCN2N=C(NC2O)S1",0.6496,5.818,1.2336,4.42,520.64,0.189,-1.85
mol_644,"OCC1CC(NC2CCCCN2)CN1",0.6492,5.806,1.2507,4.20,199.30,0.490,-0.60
mol_645,"C=C=CC1CCCCC1CCO",0.6486,5.794,1.2676,4.00,166.26,0.639,2.52
mol_646,"C1=C2C(=NNC2C2CCNCC2N2CCCC2)CCC1",0.6485,5.806,1.2497,4.24,274.41,0.801,1.50
mol_647,"CC1(C=C2CNCN2)C(=O)NC2C(O)NC(F)CC21",0.6484,5.884,1.1432,5.83,270.31,0.384,-1.25
mol_648,"C1=CCC2NNC=C2CC1",0.6483,5.818,1.2334,4.46,136.20,0.487,1.09
mol_649,"CC1=NC2CC(O)=C(C(N)O)C=CC2CN1C",0.6483,5.849,1.1894,5.10,237.30,0.576,0.38
mol_650,"NC(O)c1c[nH]c2c1CC(O)C1CNNCC1N2",0.6483,5.859,1.1764,5.30,253.31,0.303,-1.61
mol_651,"CC1OC2CC(Cl)CC3C(O)NC(CNCO)CC1C23",0.6481,5.871,1.1597,5.57,304.82,0.444,0.24
mol_652,"CC1CCC2=NC(C3CCCNC3)C3CCCNC3C2N1",0.6480,5.839,1.2035,4.90,290.46,0.682,1.32
mol_653,"CC=NC1NNC(C2CC(C)OC2C(O)NC)C1O",0.6476,5.879,1.1501,5.74,272.35,0.318,-1.43
mol_654,"COC1CC(F)CC2CCCC=C21",0.6471,5.807,1.2485,4.30,184.25,0.569,2.86
mol_655,"CNCCC(N)CC(N)C1NC(O)c2cc(O)cc3c2C1CC1CCCCC1O3",0.6470,5.842,1.1993,4.99,404.56,0.424,1.43
mol_656,"CCOC1=NCN2C3=C(NNN3)C(CNCCC(C)N)C12",0.6469,5.841,1.2009,4.97,295.39,0.393,-1.20
mol_657,"CC1CC2C3CCCC(N)C4CCNC(C43)N2CN1",0.6467,5.851,1.1868,5.19,264.42,0.602,0.69
mol_658,"C1CNC(C2CCOC2)C1",0.6458,5.790,1.2740,3.45,141.21,0.582,0.77
mol_659,"N=C(O)C1=C2C(N)NCC2C(Cl)CC1",0.6458,5.846,1.1938,5.11,215.68,0.296,0.72
mol_660,"CC(N)=NC1C=C(N)C(O)N(C)C1C",0.6456,5.837,1.2064,4.93,198.27,0.381,-0.77
mol_661,"CC1C(O)=C(N)C2=C3C(CC(O)C31)CC(N1CC1)C2S",0.6456,5.848,1.1916,5.15,294.42,0.431,1.04
mol_662,"CC(=O)CC1CCCC(C(O)C2C=C3C4=C(O)NC(C(=N)C5=CCCCC5)N4C(O)C3CC2)N1",0.6450,5.872,1.1586,5.68,470.61,0.329,2.60
mol_663,"CCOC1CNC2NCCCC21",0.6446,5.802,1.2566,4.26,170.26,0.626,0.32
mol_664,"CC=CCC1NC(CC2CCNC2N)C(CC(OCC)C(O)O)N1",0.6446,5.868,1.1645,5.60,342.48,0.250,-0.40
mol_665,"CC1CC(O)C(CC(O)C(C)(C)N)C(C#N)C1",0.6444,5.820,1.2298,4.63,240.35,0.687,1.02
mol_666,"CC1NCCC(C2NCC(C)(C)C(O)C2O)N1",0.6444,5.844,1.1961,5.12,243.35,0.409,-1.00
mol_667,"OCC1C2=C3C(CC1O)NC(O)N3C1C(CNC3CCCCC31)C2",0.6442,5.858,1.1776,5.40,335.45,0.453,-0.29
mol_668,"COC1=CC2CCN=CC2=CC1Cl",0.6440,5.840,1.2027,5.03,197.66,0.591,2.15
mol_669,"CNC1=C=CC2C(C1C=O)C1CCCCC1N2C",0.6438,5.852,1.1860,5.29,246.35,0.593,1.56
mol_670,"C=CC(C)=C1NC2=C(CCCC2SC)C1O",0.6437,5.828,1.2188,4.81,237.37,0.774,2.58
mol_671,"COC1OC=C2C(CCC3CCCC(O)C23)C1=O",0.6436,5.820,1.2299,4.66,252.31,0.770,1.63
mol_672,"CCCC(O)C1CC(CC(O)CNON)ON1",0.6432,5.840,1.2028,5.05,249.31,0.349,-1.04
mol_673,"CCCNC1(O)CC(C2CCCCC2)CN1",0.6425,5.784,1.2819,3.84,226.36,0.641,1.82
mol_674,"CCCNC(NC1C(NC)=C=NC2=C1CC1C(C(O)CCN(C)C)OC3NCN2C31C=N)NC1C2=NCCN21",0.6423,5.908,1.1117,6.55,541.71,0.081,-1.82
mol_675,"N=C1C=CC2NCCCC2C(CO)N1",0.6418,5.821,1.2292,4.72,195.27,0.470,-0.15
mol_676,"C1CCC2NNNC2C1",0.6415,5.802,1.2562,4.36,127.19,0.425,-0.09
mol_677,"CC(CCN)NC(O)COC1CCCCC1",0.6415,5.783,1.2844,3.49,230.35,0.570,0.98
mol_678,"CC(=N)N1CCC(C)=C1NC(=N)O",0.6412,5.782,1.2849,3.90,182.23,0.360,1.00
mol_679,"CC1NCCC(O)C1NCCCC#N",0.6409,5.788,1.2768,4.11,197.28,0.555,-0.01
mol_680,"CC1CNC=CC1N(C)C",0.6405,5.805,1.2523,4.44,140.23,0.576,0.67
mol_681,"CC1CCC2C=NNCCC2C1",0.6403,5.801,1.2580,4.37,166.27,0.585,2.02
mol_682,"OC(O)C1CNC2NCCCC21",0.6400,5.810,1.2448,4.56,172.23,0.377,-1.16
mol_683,"CC(O)CN1CC(C(=O)NCCC(O)O)CCC12CCCC2=O",0.6400,5.808,1.2469,4.53,328.41,0.484,-0.61
mol_684,"CC(O)NC1=C=NC(N2C3=C(CCC(Cl)C3)C(=O)C2N)=C1",0.6399,5.858,1.1777,5.53,308.77,0.523,0.54
mol_685,"CC(=N)C1C=CNC(N)N1",0.6387,5.846,1.1938,5.32,140.19,0.365,-0.66
mol_686,"CCN(NC(O)NC1CCCCC1)C(C)C(=O)O",0.6384,5.778,1.2918,3.79,259.35,0.393,0.48
mol_687,"C=NC1CNC=C2CCCCC21",0.6383,5.807,1.2486,4.56,164.25,0.586,1.73
mol_688,"CC1(O)C(NO)C(=O)CC2CCCCC21",0.6377,5.791,1.2719,4.27,213.28,0.565,0.86
mol_689,"CN1CCCNC2C=CCC=C21",0.6372,5.783,1.2841,4.13,164.25,0.540,1.12
mol_690,"OC1CCC(C(O)NC2OC3CCCC(F)C3C2O)CC1",0.6370,5.815,1.2374,4.75,303.37,0.576,0.67
mol_691,"CC1CC2C(C3CCCC(O)=C3Cl)C=NC(=O)N2N1",0.6369,5.831,1.2147,5.07,283.76,0.777,2.58
mol_692,"CCCC1CCC2CCN(CC(O)CCC3CCC=C(C3)NC(O)N1)C2",0.6369,5.889,1.1359,6.30,365.56,0.606,2.55
mol_693,"C1CC2NCCC2CN1",0.6368,5.775,1.2957,3.61,126.20,0.476,-0.04
mol_694,"NC1CC=C(I)CC1",0.6368,5.783,1.2838,4.15,223.06,0.622,1.82
mol_695,"NC1CC=C(I)CC1",0.6368,5.783,1.2838,4.15,223.06,0.622,1.82
mol_696,"CCCCNC(C)C(O)C(C)C1CC(C)C(CCC)C(N)C1",0.6367,5.804,1.2529,4.55,312.54,0.571,3.55
mol_697,"CC(O)C1CCN2CCCN12",0.6365,5.776,1.2936,4.04,156.23,0.581,0.06
mol_698,"C=CC(N)CCC1C(=CCO)C(CO)=NN1O",0.6363,5.825,1.2232,4.97,241.29,0.475,-0.38
mol_699,"C=NC1=C(C)C(NC)=CCC=C1",0.6359,5.786,1.2795,4.23,162.24,0.617,2.02
mol_700,"CCC1CC2C3CCNCC3NC2N(N)N1",0.6358,5.839,1.2041,5.26,225.34,0.448,-0.63
mol_701,"CN1C2C(O)CCCC2C2CCNC(CC3CCCCC3N)C21",0.6357,5.817,1.2339,4.84,321.51,0.725,1.72
mol_702,"CC1CCN(C(N)(O)C(=N)N)C1",0.6355,5.777,1.2929,4.07,172.23,0.240,-1.13
mol_703,"CC(=O)C1CC(N)CCC1C",0.6352,5.772,1.2996,3.61,155.24,0.621,1.34
mol_704,"CNC(C)C1=C2CCC(C(C=O)=C(C)O)C2CN1",0.6348,5.817,1.2340,4.86,250.34,0.402,1.51
mol_705,"CN1CCC(C2C3=C4C(NC3)OC3CCCC3C(O)C4C3N=C=CCCC32)C1",0.6341,5.868,1.1647,5.91,383.54,0.680,1.97
mol_706,"CN1CC(=N)C2CC(Br)CC(O)C21",0.6339,5.830,1.2157,5.15,247.14,0.623,0.85
mol_707,"C=NC(O)C(=C1CCN=C=C1N)C(C)O",0.6338,5.861,1.1736,5.78,209.25,0.552,-0.40
mol_708,"N=C1NCNC12CCSC2",0.6338,5.836,1.2074,5.27,157.24,0.463,-0.01
mol_709,"CCNCC1CC1(O)C(=C=C1CCNC1)C(O)C(C)N",0.6335,5.829,1.2170,5.14,281.40,0.424,-0.50
mol_710,"CC1C(=O)NC(N)C=C1C(F)(F)F",0.6335,5.788,1.2771,4.33,194.16,0.552,0.53
mol_711,"O=C1NC23CCCC24CCNCCNCC2CC=C1C2C43",0.6333,5.876,1.1529,6.12,287.41,0.618,0.80
mol_712,"CC1N=C=NNC(N)C2C3CCNCNC3C3C(O)NCC1C23",0.6325,5.907,1.1135,6.82,321.43,0.316,-1.72
mol_713,"CC1NNC(O)C2OCC(O)C3CCCC(O)C3C12",0.6309,5.825,1.2227,5.14,272.34,0.386,-1.05
mol_714,"FC1CC(C(F)(F)F)C(F)CN1",0.6308,5.810,1.2450,4.83,189.13,0.452,1.79
mol_715,"OC1NNCC1CS",0.6306,5.832,1.2134,5.28,134.20,0.346,-1.04
mol_716,"C1CCC2CCCCC2C1",0.6304,5.764,1.3116,1.68,138.25,0.481,3.37
mol_717,"CCC1NC#CC1=C1CN1",0.6301,5.845,1.1960,5.55,134.18,0.396,0.19
mol_718,"IC1C=C2CNC2CC1",0.6300,5.818,1.2330,5.02,235.07,0.381,1.48
mol_719,"CC1=NC(C)C(C2CCCC(N3C=CC4=C5C(N)CCCC5C(C)C4C3O)C2)N1",0.6299,5.843,1.1984,5.52,398.60,0.668,3.16
mol_720,"Nc1[nH]nc2c1CC(O)C(O)C2",0.6296,5.777,1.2920,4.26,169.18,0.393,-1.19
mol_721,"CCC(C(=C=N)C(C)=O)C(C)O",0.6284,5.777,1.2924,4.29,169.22,0.490,1.16
mol_722,"CC1=C=CC(C)(C)C2NCCNC2C1O",0.6283,5.831,1.2149,5.33,208.30,0.506,0.42
mol_723,"CC1CC(O)C(NCN=N)C(C=N)C1",0.6283,5.826,1.2212,5.24,198.27,0.400,0.99
mol_724,"C=CC1NCCN1C1CCCCc2nc[nH]c21",0.6282,5.778,1.2918,4.30,232.33,0.601,1.59
mol_725,"C=NC(=O)C1CCC(N)CC1",0.6282,5.761,1.3172,3.04,154.21,0.566,0.73
mol_726,"NC(=O)NCCC1COC(O)(O)C1",0.6280,5.760,1.3176,3.72,190.20,0.416,-1.28
mol_727,"NC1NCCC2NC(O)CCC12",0.6280,5.808,1.2479,4.88,171.24,0.375,-1.05
mol_728,"COC(C)CC=CC(O)C1CC(C(O)O)CC2C(O)CNC(N)C12",0.6279,5.835,1.2092,5.42,344.45,0.273,-0.85
mol_729,"C=CCCC1C(CC(C)C)C(O)CC2C(C(CC)C3CCCCC3CCCCC)NC(O)C12",0.6278,5.824,1.2244,5.20,461.78,0.218,6.93
mol_730,"CC(=O)NC1CCNCC1CC=C(C)C",0.6277,5.760,1.3185,3.54,210.32,0.692,1.46
mol_731,"N#CC1C(=NC(=O)CCC(N)=O)CNC2CCCC(O)C21",0.6275,5.791,1.2719,4.58,292.34,0.645,-0.51
mol_732,"CCSC(C(=N)N)C(C)O",0.6273,5.769,1.3041,4.18,162.26,0.414,0.42
mol_733,"COC1=C=CC2=C=C(C1)NC1CC(C(C)CNC1=O)C1CCOCN1C2",0.6271,5.918,1.0991,7.24,357.45,0.692,1.28
mol_734,"C=CC1CCC=CCC1CCCC(C(=O)O)N(C)C(O)NC1=CC=C=C1O",0.6264,5.827,1.2202,5.31,374.48,0.267,3.06
mol_735,"N=C1NCC(Br)=C1Cl",0.6261,5.778,1.2912,4.38,195.45,0.602,1.41
mol_736,"NC1NCCC2C1CCCC1CNC(NC3CCCCC3)NC12",0.6261,5.802,1.2558,4.83,321.51,0.526,1.06
mol_737,"CC(N)C1CCC(F)CC1O",0.6254,5.769,1.3047,4.23,161.22,0.598,0.83
mol_738,"OC(O)CCOC(O)C1CCNC1C(O)O",0.6254,5.794,1.2674,4.70,237.25,0.278,-2.69
mol_739,"CCCNC(=O)NCCC1CCC(C)CC1OCCC1=C=C(C)C(O)CC1N",0.6251,5.797,1.2628,4.77,393.57,0.453,2.86
mol_740,"CC1NC(O)NC2C(O)CCCC12",0.6249,5.798,1.2616,4.79,186.25,0.407,-0.63
mol_741,"CC1CCC(=NN)C(O)C1",0.6248,5.761,1.3168,4.11,142.20,0.382,0.48
mol_742,"CC1C(=N)NC(NO)C2CCCCC12",0.6248,5.800,1.2589,4.83,197.28,0.479,1.31
mol_743,"CC12C(O)CC(=O)N(NCC3CCCCC3)C1CC1CCCCN12",0.6248,5.773,1.2988,4.32,335.49,0.829,2.05
mol_744,"CC(CC1CCCCC1O)C(O)N(C)O",0.6247,5.765,1.3110,4.18,217.31,0.489,1.20
mol_745,"CCC(=O)C1CC2=C(CC(NC)CC2CCC=C(NCCO)OCCNC)NN1",0.6246,5.805,1.2511,4.93,409.58,0.193,0.52
mol_746,"NC1CCCCC1CCCC(O)=NC1CCC=C=C1O",0.6239,5.798,1.2614,4.82,278.40,0.410,3.39
mol_747,"CC(CC1C=CCCC1)C1CC(NCC(C)(O)CCS)NCN1",0.6229,5.818,1.2327,5.23,341.57,0.347,2.26
mol_748,"O=C1CN(CCC2C=CCCC2)C(C(=O)O)N1",0.6228,5.757,1.3234,4.09,238.29,0.703,0.58
mol_749,"CC(=O)C1=C2CCN(O)C2=CC(C)C1",0.6226,5.760,1.3176,4.16,193.25,0.691,1.89
mol_750,"CCCCCCNC1=NC2CCCN2C(CN)NC(=O)N1",0.6220,5.755,1.3254,4.09,296.42,0.538,0.53
mol_751,"CNC1C(=O)NC(O)C2C(N)C(Br)CC12",0.6217,5.809,1.2461,5.09,278.15,0.451,-1.25
mol_752,"CCN(C(O)CO)C1CCC(=O)C(N)C1C=N",0.6214,5.800,1.2586,4.93,243.31,0.363,-1.06
mol_753,"OC1=CC2(CO2)NC(C2CCCCC2)=C1",0.6211,5.771,1.3012,4.40,207.27,0.648,2.22
mol_754,"O=C1NCCC2C=CC=CCC12",0.6204,5.748,1.3373,3.86,163.22,0.572,1.25
mol_755,"CC(O)C1CCCC(F)C=C1N",0.6198,5.774,1.2966,4.50,173.23,0.628,1.35
mol_756,"CCC1C(NC2CCC(O)C(CC3CCCCC3)C2)N2C(O)C(CO)CCC2N1CCN",0.6194,5.806,1.2506,5.10,452.68,0.382,1.80
mol_757,"CC1=C2CCCCC2C(C(O)NO)C1",0.6191,5.766,1.3092,4.37,197.28,0.359,1.81
mol_758,"CC1CCC2C(NC3CCC(N)C3)=CCNC2N1",0.6187,5.791,1.2720,4.84,250.39,0.581,0.66
mol_759,"OC1=CC2C=CCC(O)C2C(C2CCCCC2)C1O",0.6186,5.776,1.2935,4.57,264.36,0.638,2.55
mol_760,"CC1N=CC2CNCC21",0.6185,5.794,1.2675,4.90,124.19,0.493,0.29
mol_761,"CC1NNC(O)C2C1CCC1NN=C(N)N12",0.6185,5.826,1.2219,5.52,226.28,0.329,-1.96
mol_762,"CC1CC2CON=C3CC(C=N)C4C(O)NC(O)C1C4C32",0.6182,5.853,1.1846,6.08,293.37,0.526,0.40
mol_763,"CCC=CCC(N)C(C)NNC",0.6181,5.759,1.3201,4.27,171.29,0.409,0.78
mol_764,"CC(C)=C1CCN2C(=O)C(C(O)O)=C(CC3CCCCC3)C2C1",0.6181,5.744,1.3434,3.80,319.45,0.621,2.91
mol_765,"CCC=C1CNC(C2CC2)N1CNC(N)N",0.6181,5.773,1.2980,4.53,225.34,0.482,-0.33
mol_766,"CC1CCC2C(O)NCC(O)C2C1O",0.6179,5.785,1.2815,4.74,201.27,0.418,-0.71
mol_767,"OC1CC2C(I)CNC2CCCN1",0.6179,5.793,1.2697,4.89,296.15,0.450,0.47
mol_768,"CC(O)=C=C=CSC=C1NCCC1O",0.6174,5.817,1.2351,5.37,211.29,0.480,1.64
mol_769,"COC1CC(O)CC2CCC(C)(C(O)C(O)O)CC21",0.6173,5.785,1.2802,4.78,274.36,0.554,0.25
mol_770,"C=CCC12C(C)=C1CNC1NC(N)NC(O)C12",0.6171,5.833,1.2120,5.70,236.32,0.405,-0.82
mol_771,"NC(O)C1NCCC2C1CC1CCNC12",0.6170,5.798,1.2613,5.03,211.31,0.430,-0.76
mol_772,"CC1CCC(C(O)O)C(O)C1",0.6170,5.742,1.3464,3.77,160.21,0.476,0.09
mol_773,"NCCCCCN",0.6167,5.741,1.3473,1.94,102.18,0.494,0.07
mol_774,"CC1CN(CC2CCCC(=N)C2)C(O)C(C2CCCCN2)C1(O)O",0.6166,5.787,1.2777,4.83,339.48,0.492,0.91
mol_775,"CCC1=CC(O)NCCC1",0.6166,5.741,1.3476,3.81,141.21,0.534,1.02
mol_776,"O=C1NCC2CCCCCC12",0.6160,5.740,1.3491,3.17,153.22,0.558,1.31
mol_777,"OC(O)CC1C=CNC1C1NCNN1",0.6157,5.830,1.2161,5.69,200.24,0.289,-2.23
mol_778,"CCC(NO)C(C)C1CC(N)NC(C)=N1",0.6155,5.798,1.2612,5.08,214.31,0.512,0.45
mol_779,"OC1NC=CC2C1CCCC2(F)F",0.6151,5.788,1.2771,4.88,189.20,0.605,1.47
mol_780,"NS(N)(O)C1=C(O)CCCC1",0.6149,5.738,1.3521,3.49,178.26,0.487,1.35
mol_781,"CN(C)CC1CCCC(=O)C(S(O)(O)O)C1",0.6146,5.737,1.3529,3.86,251.35,0.667,1.90
mol_782,"C1CCC2CNCCC2C1",0.6146,5.737,1.3530,2.96,139.24,0.539,1.79
mol_783,"C1CCC2CNCCC2C1",0.6146,5.737,1.3530,2.96,139.24,0.539,1.79
mol_784,"C1CCC2CNCCC2C1",0.6146,5.737,1.3530,2.96,139.24,0.539,1.79
mol_785,"C1CCC2CNCCC2C1",0.6146,5.737,1.3530,2.96,139.24,0.539,1.79
mol_786,"C1CCC2CNCCC2C1",0.6146,5.737,1.3530,2.96,139.24,0.539,1.79
mol_787,"C1CCC2CNCCC2C1",0.6146,5.737,1.3530,2.96,139.24,0.539,1.79
mol_788,"COC1C(N)C(O)NC2CC(Cl)CCC21",0.6145,5.790,1.2737,4.94,234.73,0.560,0.03
mol_789,"CC1CCCCN1C1C(O)CCC1C1OCCC1O",0.6145,5.758,1.3220,4.35,269.38,0.789,1.15
mol_790,"CC(N)N1N=CCC2CCCCC21",0.6140,5.758,1.3217,4.37,181.28,0.666,1.54
mol_791,"C1CCC2CNNCC2C1",0.6139,5.736,1.3549,3.82,140.23,0.522,0.90
mol_792,"C1CCC2CNNCC2C1",0.6139,5.736,1.3549,3.82,140.23,0.522,0.90
mol_793,"CCCC1NC2C(O)=C=C=NC3NC(NCOC)C(C1O)C32",0.6136,5.853,1.1846,6.21,308.38,0.345,-0.55
mol_794,"CC1CCCC2C1C(C)C1CCC(C(O)O)NC3OC3C12",0.6133,5.802,1.2561,5.21,295.42,0.509,1.71
mol_795,"O=C1CC2CNN=C2C(=O)N1",0.6133,5.739,1.3512,4.06,153.14,0.421,-1.39
mol_796,"NC1NCC(Cl)C2CC(C(O)O)CCC12",0.6132,5.787,1.2774,4.93,234.73,0.375,-0.18
mol_797,"Nc1[nH]cnc1C1SCCCC1N",0.6130,5.751,1.3320,4.28,198.29,0.626,0.89
mol_798,"OC(CN(O)CC1CCCCN1)C1CCCCC1",0.6128,5.734,1.3578,3.63,256.39,0.656,1.76
mol_799,"COCCCN1C=C(C)NC(F)(F)C1O",0.6125,5.739,1.3500,4.09,222.23,0.543,0.70
mol_800,"COC1NC(=N)N2NC(=N)C2=C2CCCCC21",0.6123,5.783,1.2840,4.88,235.29,0.540,0.74
mol_801,"OC(O)C1=CC=CC(O)C(O)C1",0.6123,5.749,1.3344,4.28,172.18,0.379,-1.09
mol_802,"CNC(CN(C)CC(O)O)C(N)N",0.6123,5.734,1.3591,3.93,192.26,0.288,-2.94
mol_803,"CCC1C(=O)COC2=C(Br)NCN=C21",0.6122,5.765,1.3101,4.56,259.10,0.719,1.18
mol_804,"CCCCCC1CCC=NC(N)C1",0.6116,5.732,1.3611,3.83,182.31,0.667,2.72
mol_805,"CC1(C)CCCC(CN)(C(N)=O)C1",0.6115,5.732,1.3615,3.35,184.28,0.672,1.02
mol_806,"CCC(C)N1OC2C(C)CCCC2C(O)C1O",0.6112,5.772,1.2997,4.72,243.35,0.772,1.52
mol_807,"N=C1CC(N)CC2CCCCC2OCC(O)N1",0.6107,5.790,1.2736,5.06,241.34,0.499,0.57
mol_808,"CCC(O)C(S)CN",0.6106,5.745,1.3411,4.25,135.23,0.478,0.01
